Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,32.992,Invalid
TST-0006,18.9522,Valid
TST-0047,66.5134,Valid
TST-0311,25.2232,Valid
TST-0264,18.2682,Invalid
TST-0169,19.8669,Valid
TST-0269,18.0142,Valid
TST-0178,14.2641,Invalid
TST-0206,32.4378,Valid
TST-0038,18.0078,Valid
TST-0213,14.4992,Invalid
TST-0309,16.2897,Valid
TST-0059,33.2007,Valid
TST-0159,18.0421,Valid
TST-0235,19.7878,Valid
TST-0230,21.1873,Valid
TST-0323,37.2514,Valid
TST-0262,18.6053,Valid
TST-0274,13.8158,Valid
TST-0214,49.5502,Valid
TST-0024,40.2265,Valid
TST-0234,17.2495,Valid
TST-0333,22.1753,Valid
TST-0060,20.4927,Valid
TST-0226,36.2865,Valid
TST-0197,16.4549,Valid
TST-0346,41.2883,Valid
TST-0192,26.649,Valid
TST-0141,29.2545,Valid
TST-0222,38.7468,Invalid
TST-0232,19.6278,Valid
TST-0085,23.8214,Valid
TST-0237,32.5457,Valid
TST-0001,37.7029,Valid
TST-0069,16.3117,Valid
TST-0272,23.5614,Valid
TST-0343,33.4358,Valid
TST-0320,26.7554,Valid
TST-0008,30.0558,Invalid
TST-0144,23.1468,Valid
TST-0184,21.9577,Valid
TST-0107,62.9874,Valid
TST-0026,42.2276,Valid
TST-0164,42.4279,Valid
TST-0217,32.897,Valid
TST-0332,31.0468,Invalid
TST-0279,24.2304,Valid
TST-0243,18.8461,Valid
TST-0163,20.3551,Valid
TST-0131,28.8869,Valid
TST-0070,16.0841,Valid
TST-0137,18.2703,Valid
TST-0210,29.4745,Valid
TST-0288,20.5685,Valid
TST-0248,18.1037,Valid
TST-0277,22.3889,Invalid
TST-0215,21.708,Valid
TST-0138,16.1759,Valid
TST-0228,17.4483,Valid
TST-0252,48.7005,Valid
TST-0205,30.4461,Valid
TST-0348,22.6463,Valid
TST-0177,22.4972,Valid
TST-0267,37.2262,Valid
TST-0308,23.2611,Valid
TST-0087,41.583,Invalid
TST-0117,16.9876,Valid
TST-0014,18.6611,Valid
TST-0154,24.8279,Valid
TST-0207,47.5536,Valid
TST-0187,21.878,Valid
TST-0236,21.2029,Valid
TST-0283,40.5397,Invalid
TST-0089,18.2428,Valid
TST-0202,23.6073,Valid
TST-0160,18.4449,Valid
TST-0036,26.7648,Valid
TST-0275,48.0003,Valid
TST-0023,34.0314,Valid
TST-0091,43.2141,Valid
TST-0151,44.0916,Valid
TST-0310,22.1912,Valid
TST-0239,14.9625,Valid
TST-0331,32.0541,Valid
TST-0316,13.4489,Invalid
TST-0338,14.1715,Valid
TST-0019,19.9475,Valid
TST-0168,13.8349,Invalid
TST-0007,18.2025,Valid
TST-0211,32.0307,Valid
TST-0016,35.4282,Valid
TST-0027,19.3969,Invalid
TST-0031,16.9186,Invalid
TST-0249,28.6274,Valid
TST-0011,16.132,Valid
TST-0080,23.4224,Invalid
TST-0121,16.2898,Valid
TST-0266,19.682,Valid
TST-0198,22.2351,Valid
TST-0067,31.8489,Valid
TST-0102,21.534,Valid
TST-0005,37.1559,Valid
TST-0003,28.8881,Valid
TST-0132,43.5559,Valid
TST-0029,26.8124,Valid
TST-0221,34.4449,Valid
TST-0099,17.3411,Valid
TST-0062,17.3319,Valid
TST-0095,26.539,Valid
TST-0126,17.0823,Valid
TST-0034,50.1226,Valid
TST-0103,15.7549,Valid
TST-0245,23.2398,Valid
TST-0058,50.343,Valid
TST-0065,26.1326,Valid
TST-0086,19.3671,Valid
TST-0342,20.4265,Valid
TST-0335,17.6832,Valid
TST-0180,18.2594,Invalid
TST-0294,24.1829,Invalid
TST-0072,20.6302,Valid
TST-0315,47.9726,Invalid
TST-0182,45.3103,Valid
TST-0200,21.607,Valid
TST-0030,16.6089,Valid
TST-0193,16.824,Valid
TST-0231,21.1356,Valid
TST-0128,25.9071,Valid
TST-0165,28.2655,Invalid
TST-0074,13.9073,Valid
TST-0004,33.6285,Valid
TST-0157,23.7413,Valid
TST-0143,26.7121,Valid
TST-0179,42.5291,Valid
TST-0075,27.5927,Valid
TST-0233,23.7293,Valid
TST-0111,26.622,Valid
TST-0350,21.3458,Valid
TST-0122,17.03,Valid
TST-0076,22.1868,Valid
TST-0304,26.7455,Valid
TST-0190,28.6293,Valid
TST-0061,16.9366,Valid
TST-0009,25.9867,Valid
TST-0194,44.8947,Valid
TST-0156,15.1257,Invalid
TST-0088,32.5487,Valid
TST-0256,47.5306,Valid
TST-0329,16.4705,Valid
TST-0219,42.6716,Valid
TST-0306,14.2035,Valid
TST-0324,22.5909,Valid
TST-0113,21.6221,Valid
TST-0135,15.9957,Valid
TST-0339,17.5521,Valid
TST-0260,22.4128,Valid
TST-0195,26.4827,Valid
TST-0286,28.5664,Valid
TST-0015,25.8849,Valid
TST-0263,19.4817,Valid
TST-0147,24.2131,Valid
TST-0002,23.3476,Invalid
TST-0114,45.8079,Valid
TST-0271,30.1885,Invalid
TST-0223,21.7837,Valid
TST-0344,16.0676,Valid
TST-0183,31.287,Valid
TST-0327,32.3548,Valid
TST-0250,20.0436,Invalid
TST-0185,38.7296,Valid
